IDAluno,Turma,Plano,Faixa,Redações,Vídeos,Questões,DataMatriculada,Simulados,Tutor,Logins,Perfil,DataCancelamento,TempoMatricula,DataNascimento,AcessoAte
95738,Medicina 2020,MONTHLY,Faixa Branca Grau III,0,1,0,04/04/2017 05:40:09,1,COM TUTOR,1,Exclusivo,N/A,N/A,N/A,18/03/2020 02:59:59
112701,Medicina 2020,MONTHLY,Faixa Preta Grau III,0,9,124,07/11/2017 14:06:36,1,COM TUTOR,4,Exclusivo,N/A,N/A,05/02/1984 00:00:00,31/12/2031 02:59:59
112702,Medicina 2020,MONTHLY,Faixa Verde Grau II,2,74,1359,07/11/2017 15:43:33,4,COM TUTOR,86,Exclusivo,N/A,N/A,19/07/1980 00:00:00,30/12/2029 15:00:00
120504,ITA e IME 2020,FULL,Faixa Branca Grau I,0,24,64,27/09/2019 00:00:00,4,COM TUTOR,5,Exclusivo,20/02/2020 02:59:59,146,07/04/2002 00:00:00,24/12/2020 15:00:00
120759,ITA e IME 2020,FULL,Faixa Verde Grau I,17,1166,1598,18/08/2019 00:00:00,2,COM TUTOR,237,Exclusivo,N/A,N/A,05/12/2001 00:00:00,22/02/2021 02:59:59
131509,ITA e IME 2020,MONTHLY,Faixa Verde Grau I,0,40,31,26/04/2019 14:50:44,7,SEM TUTOR,69,Exclusivo,N/A,N/A,30/12/1988 00:00:00,31/01/2022 02:59:59
140667,ITA e IME 2020,FULL,Faixa Branca Grau IV,1,285,339,16/08/2019 00:00:00,0,COM TUTOR,116,Exclusivo,17/02/2021 15:39:59,552,17/04/1999 00:00:00,31/01/2021 00:00:00
140736,ITA e IME 2020,FULL,Faixa Branca Grau I,0,215,169,08/08/2019 11:29:17,0,COM TUTOR,0,Parcial,N/A,N/A,08/12/1999 00:00:00,25/12/2020 00:00:00
140750,Medicina 2020,FULL,Faixa Branca Grau I,0,26,61,08/08/2019 19:26:52,0,COM TUTOR,0,Parcial,26/09/2019 00:00:00,48,27/03/2003 00:00:00,31/01/2021 00:00:00
140863,ITA e IME 2020,FULL,Faixa Verde Grau II,3,690,965,14/08/2019 17:27:58,6,COM TUTOR,117,Parcial,N/A,N/A,22/01/2002 00:00:00,25/12/2020 00:00:00
140903,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,109,133,16/08/2019 21:33:11,0,COM TUTOR,59,Parcial,N/A,N/A,15/07/2000 00:00:00,31/01/2021 00:00:00
140932,ITA e IME 2020,FULL,Faixa Verde Grau II,1,394,146,18/08/2019 16:12:33,0,COM TUTOR,41,Parcial,N/A,N/A,14/08/2002 00:00:00,31/01/2021 00:00:00
140963,ITA e IME 2020,FULL,Faixa Branca Grau IV,1,1139,1432,19/08/2019 17:15:47,1,COM TUTOR,124,Exclusivo,N/A,N/A,18/03/1999 00:00:00,31/01/2021 00:00:00
140987,ITA e IME 2020,FULL,Faixa Verde Grau I,31,1786,2315,23/08/2019 14:42:20,5,COM TUTOR,207,Parcial,N/A,N/A,02/07/2003 00:00:00,25/01/2022 02:59:59
140991,Medicina 2020,FULL,Faixa Branca Grau IV,0,23,24,23/08/2019 15:09:55,0,COM TUTOR,2,Exclusivo,N/A,N/A,26/03/2019 00:00:00,21/02/2021 23:59:59
140992,ITA e IME 2020,FULL,Faixa Verde Grau II,10,1132,2999,23/08/2019 16:05:17,3,COM TUTOR,263,Exclusivo,N/A,N/A,06/02/2002 00:00:00,31/01/2021 00:00:00
140999,ITA e IME 2020,FULL,Faixa Branca Grau I,0,98,345,23/08/2019 21:21:07,0,COM TUTOR,0,Consulta,N/A,N/A,23/04/2001 00:00:00,20/01/2021 00:00:00
141229,ITA e IME 2020,FULL,Faixa Branca Grau V,0,333,1301,27/08/2019 12:33:29,6,COM TUTOR,76,Parcial,06/07/2020 15:00:00,314,07/04/2002 00:00:00,30/01/2021 02:59:59
141233,ITA e IME 2020,FULL,Faixa Verde Grau III,62,5095,6385,27/08/2019 14:30:29,10,COM TUTOR,523,Exclusivo,N/A,N/A,26/12/2001 00:00:00,25/01/2023 02:59:59
141300,ITA e IME 2020,FULL,Faixa Branca Grau IV,4,374,434,28/08/2019 11:33:18,3,COM TUTOR,70,Parcial,28/05/2021 16:56:37,639,11/06/2002 00:00:00,31/01/2021 00:00:00
141302,ITA e IME 2020,FULL,Faixa Verde Grau III,10,1574,3798,28/08/2019 12:11:06,0,COM TUTOR,120,Exclusivo,N/A,N/A,07/03/2001 00:00:00,31/01/2021 00:00:00
141409,ITA e IME 2020,FULL,Faixa Branca Grau I,0,12,43,29/08/2019 11:18:56,1,COM TUTOR,0,Parcial,30/01/2020 15:00:00,154,06/08/2001 00:00:00,31/01/2021 00:00:00
141413,ITA e IME 2020,FULL,Faixa Verde Grau II,4,1772,3193,29/08/2019 11:43:49,5,COM TUTOR,144,Exclusivo,N/A,N/A,10/01/2002 00:00:00,31/01/2021 00:00:00
141414,ITA e IME 2020,FULL,Faixa Azul Grau III,38,2243,4793,29/08/2019 11:48:54,34,COM TUTOR,276,Consulta,02/12/2020 22:41:19,461,22/10/2002 00:00:00,31/01/2021 00:00:00
141415,Medicina 2020,FULL,Faixa Branca Grau V,0,78,41,29/08/2019 11:52:39,1,COM TUTOR,25,Parcial,N/A,N/A,15/07/2000 00:00:00,21/02/2021 23:59:59
141543,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,27,117,30/08/2019 00:03:09,1,COM TUTOR,8,Parcial,N/A,N/A,07/08/2002 00:00:00,31/01/2021 00:00:00
141601,ITA e IME 2020,FULL,Faixa Azul Grau III,13,4233,6909,30/08/2019 11:34:22,12,COM TUTOR,302,Parcial,N/A,N/A,22/08/2000 00:00:00,31/01/2021 00:00:00
